sentence,relation,label,entity1,entity2,sentence_without_tags,split
The <e1>man</e1> radiated <e2>jolliness</e2>.,"Cause-Effect (e1, e2)",0,man,jolliness,The man radiated jolliness.,train
This <e1>book</e1> is another eloquent triumph from the pen of the world's bravest and most beautiful war <e2>reporter</e2>.,"Product-Producer (e1, e2)",16,book,reporter,This book is another eloquent triumph from the pen of the world's bravest and most beautiful war reporter.,train
"In general, the old <e1>queen</e1> starts laying <e2>eggs</e2> into queen cups when conditions are right for swarming or supersedure.","Product-Producer (e2, e1)",17,queen,eggs,"In general, the old queen starts laying eggs into queen cups when conditions are right for swarming or supersedure.",train
The <e1>programme</e1> of events has been organised around five main <e2>themes</e2>.,"Message-Topic (e1, e2)",14,programme,themes,The programme of events has been organised around five main themes.,train
"Others think that the underwater <e1>ruins</e1> are from a different ancient <e2>monument</e2>, perhaps a temple that gradually sank beneath the waves.","Entity-Origin (e1, e2)",8,ruins,monument,"Others think that the underwater ruins are from a different ancient monument, perhaps a temple that gradually sank beneath the waves.",train
It is because Schiavo cannot swallow that a feeding <e1>tube</e1> was inserted directly into her <e2>stomach</e2>.,"Entity-Destination (e1, e2)",6,tube,stomach,It is because Schiavo cannot swallow that a feeding tube was inserted directly into her stomach.,train
Over the years a sound <e1>stud</e1> of homogenous brood <e2>mares</e2> has developed.,"Member-Collection (e2, e1)",13,stud,mares,Over the years a sound stud of homogenous brood mares has developed.,train
The <e1>bytecodes</e1> compiled from a nonoptimized control <e2>structure</e2> are illustrated by the following hypothetical method in Collection.,"Entity-Origin (e1, e2)",8,bytecodes,structure,The bytecodes compiled from a nonoptimized control structure are illustrated by the following hypothetical method in Collection.,train
<e1>Voters</e1> are eluded from the fundamental <e2>issues</e2>.,"Entity-Origin (e1, e2)",8,Voters,issues,Voters are eluded from the fundamental issues.,train
"Edmund produced a small, green spiral notebook from the back <e1>pocket</e1> of his <e2>jeans</e2>.","Component-Whole (e1, e2)",2,pocket,jeans,"Edmund produced a small, green spiral notebook from the back pocket of his jeans.",train
"But for the family that shares the cooking and clean up duties, the <e1>kitchen</e1> holds a special <e2>nuturing role</e2> beyond supplying nutrition for the physical body.",Other,18,kitchen,nuturing role,"But for the family that shares the cooking and clean up duties, the kitchen holds a special nuturing role beyond supplying nutrition for the physical body.",train
"<e1>Rice</e1> <e2>spirits</e2> in Asia are almost always female and regarded as a kind of mother figure (thus, the connection to fertility and tossing it at the bride).",Other,18,Rice,spirits,"Rice spirits in Asia are almost always female and regarded as a kind of mother figure (thus, the connection to fertility and tossing it at the bride).",train
I bore my chalice safely through a <e1>throng</e1> of <e2>foes</e2>.,"Member-Collection (e2, e1)",13,throng,foes,I bore my chalice safely through a throng of foes.,train
"When <e1>water</e1> in a <e2>kettle</e2> becomes acidic due to decomposing organic plant matter, it becomes a kettle bog or kettle peatland.","Content-Container (e1, e2)",4,water,kettle,"When water in a kettle becomes acidic due to decomposing organic plant matter, it becomes a kettle bog or kettle peatland.",train
The hardness of a <e1>piano</e1> <e2>hammer</e2> has a great deal of influence on the resulting piano sound.,"Component-Whole (e2, e1)",3,piano,hammer,The hardness of a piano hammer has a great deal of influence on the resulting piano sound.,train
"The scientists placed the <e1>substance</e1> in a tiny <e2>capsule</e2> which gets channelled into cancer cells, and is then ""unpacked"" with a laser impulse.","Entity-Destination (e1, e2)",6,substance,capsule,"The scientists placed the substance in a tiny capsule which gets channelled into cancer cells, and is then ""unpacked"" with a laser impulse.",train
"Most of the relevant <e1>theories</e1> were derived by the <e2>geodesist</e2> in his famous books ""Die mathematischen und physikalischen Theorien der hoeheren Geodaesie"" (1880).","Product-Producer (e1, e2)",16,theories,geodesist,"Most of the relevant theories were derived by the geodesist in his famous books ""Die mathematischen und physikalischen Theorien der hoeheren Geodaesie"" (1880).",train
There is a cluster of nerves that is located below each ear and at the <e1>hinge</e1> of the <e2>jaw</e2>.,"Component-Whole (e1, e2)",2,hinge,jaw,There is a cluster of nerves that is located below each ear and at the hinge of the jaw.,train
The <e1>website</e1> is concerned with the <e2>dissemination</e2> and exchange of information about the EnCoRe project.,Other,18,website,dissemination,The website is concerned with the dissemination and exchange of information about the EnCoRe project.,train
The <e1>description</e1> reveals that mass psychology <e2>swings</e2> from pessimism to optimism and back in a natural sequence.,"Message-Topic (e1, e2)",14,description,swings,The description reveals that mass psychology swings from pessimism to optimism and back in a natural sequence.,train
"<e1>Sodium</e1> causes fluid <e2>retention</e2>, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure.","Cause-Effect (e1, e2)",0,Sodium,retention,"Sodium causes fluid retention, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure.",train
The <e1>team</e1> drafted a great <e2>player</e2> in 2002 when they chose Julius Peppers second overall.,Other,18,team,player,The team drafted a great player in 2002 when they chose Julius Peppers second overall.,train
They respond to more and more <e1>telephone calls</e1> demanding <e2>payments</e2> to cover costs in order to receive their prize.,"Message-Topic (e1, e2)",14,telephone calls,payments,They respond to more and more telephone calls demanding payments to cover costs in order to receive their prize.,train
My concern is that the skin around my eyes extending to my <e1>cheek</e1> <e2>bone</e2> and on the lids are wrinkled - profoundly so.,"Component-Whole (e2, e1)",3,cheek,bone,My concern is that the skin around my eyes extending to my cheek bone and on the lids are wrinkled - profoundly so.,train
Our objective is to review <e1>advances</e1> in the molecular <e2>biology</e2> and pharmacogenomics of lung cancer and how they apply to personalizing medicine.,Other,18,advances,biology,Our objective is to review advances in the molecular biology and pharmacogenomics of lung cancer and how they apply to personalizing medicine.,train
I'm using a fast and safe way to import <e1>cars</e1> to <e2>overseas</e2>.,"Entity-Destination (e1, e2)",6,cars,overseas,I'm using a fast and safe way to import cars to overseas.,train
"Using an e-prescription module in an electronic record system, the <e1>prescriber</e1> makes out a <e2>prescription</e2> and transfers it to the national e-prescription mailbox.","Product-Producer (e2, e1)",17,prescriber,prescription,"Using an e-prescription module in an electronic record system, the prescriber makes out a prescription and transfers it to the national e-prescription mailbox.",train
<e1>Production</e1> and investigation of such a detector arose from an inadequate <e2>sensitivity</e2> of a commercial p-type Si detector.,"Cause-Effect (e2, e1)",1,Production,sensitivity,Production and investigation of such a detector arose from an inadequate sensitivity of a commercial p-type Si detector.,train
The <e1>disk</e1> and controller were in a <e2>box</e2> seven feet high and about 20 feet long and 3 feet wide.,"Content-Container (e1, e2)",4,disk,box,The disk and controller were in a box seven feet high and about 20 feet long and 3 feet wide.,train
Investigations had indicated the <e1>fire</e1> started from the <e2>airconditioners</e2> because on arrival that was the area engulfed.,Other,18,fire,airconditioners,Investigations had indicated the fire started from the airconditioners because on arrival that was the area engulfed.,train
"Because some of these terms are used in the case study <e1>chapters</e1> later in the <e2>book</e2>, they are defined here now.","Component-Whole (e1, e2)",2,chapters,book,"Because some of these terms are used in the case study chapters later in the book, they are defined here now.",train
Here is a <e1>dole</e1> of female wild <e2>turkeys</e2>.,"Member-Collection (e2, e1)",13,dole,turkeys,Here is a dole of female wild turkeys.,train
The <e1>talk</e1> considers <e2>graphs</e2> and multi-graphs as a subject of knowledge.,"Message-Topic (e1, e2)",14,talk,graphs,The talk considers graphs and multi-graphs as a subject of knowledge.,train
"Hoover is also notable for an extremely unusual <e1>vacuum</e1> <e2>cleaner</e2>, the Hoover Constellation, which is canister type but lacks wheels.","Instrument-Agency (e1, e2)",10,vacuum,cleaner,"Hoover is also notable for an extremely unusual vacuum cleaner, the Hoover Constellation, which is canister type but lacks wheels.",train
"The <e1>channel</e1> promotes the traditional <e2>outdoor activities</e2> that are a vital part of our national heritage including fishing, hunting and shooting sports.","Message-Topic (e1, e2)",14,channel,outdoor activities,"The channel promotes the traditional outdoor activities that are a vital part of our national heritage including fishing, hunting and shooting sports.",train
